ST_ID;LATITUDE;LONGITUDE
1;54.0993;34.3649
2;54.1332;34.3515
3;54.1913;34.3462
4;54.08;34.2608
5;54.0608;34.1444
7;54.032;34.0199
8;54.0121;33.9465
9;53.9955;33.8604
17;53.7506;34.4081
18;53.7191;34.4075
19;53.6985;34.3951
20;53.676;34.3964
21;53.7868;34.4096
22;53.831;34.4313
23;53.865;34.4225
24;53.888;34.4265
25;53.9301;34.3996
26;53.9693;34.3993
27;53.9885;34.4036
28;54.0199;34.4171
30;54.2321;34.3617
31;54.292;34.3401
32;54.3108;34.3404
33;54.1677;35.1137
34;54.1906;35.0077
35;54.1844;35.0357
36;54.1995;34.9469
37;54.2216;34.8161
38;54.2087;34.8599
39;54.2034;34.913
40;54.2367;34.7605
41;54.2637;34.6786
42;54.3087;34.5279
43;54.3341;34.4335
44;54.3535;34.3192
45;54.3659;34.2599
46;54.4159;34.2966
47;54.4842;34.2993
48;54.4384;34.2951
49;54.3879;34.1974
50;54.413;34.034
51;54.5145;36.7614
52;54.4928;36.8443
53;54.5014;36.886
55;54.5685;36.5864
56;54.5961;36.5243
57;54.6074;36.4951
58;54.6058;36.4593
59;54.6008;36.389
60;54.5847;36.3338
61;54.5552;36.3074
62;54.5335;36.2791
63;54.5655;36.2445
64;54.6127;36.2064
65;54.6193;36.1568
66;54.6357;36.1376
67;54.6772;36.0998
68;54.6498;36.1269
69;54.6906;36.0725
70;54.69;36.0207
71;54.6951;35.975
72;54.7289;35.9721
73;54.7739;35.9152
74;54.8184;35.7898
75;54.846;35.738
76;54.8921;35.6754
77;54.9304;35.5952
78;54.9502;35.4715
79;54.9504;35.4338
80;54.9677;35.399
81;54.9885;35.3097
82;55.0054;35.2213
83;55.0189;35.1419
84;55.0583;35.0639
85;55.0828;35.0101
86;55.1352;34.9024
87;55.1399;34.8452
88;55.1492;34.7893
89;55.1638;34.7308
90;55.1819;34.6634
91;55.1773;34.6017
92;55.1696;34.5343
93;55.1695;34.487
94;55.1702;34.4295
95;55.669;37.7305
96;55.685;37.7339
97;55.7073;37.7295
98;55.7341;37.702
99;54.886;37.4296
100;54.9608;37.4511
101;54.9961;37.462
102;54.9237;37.3953
103;55.0412;37.4775
104;55.0937;37.4949
105;55.1493;37.4901
106;55.1813;37.4868
107;55.2249;37.4856
108;55.2483;37.4936
110;55.3124;37.5157
111;55.2185;37.5193
112;55.1789;37.745
113;55.357;37.527
114;55.3846;37.5341
115;55.4036;37.5485
116;55.4316;37.5654
117;56.1658;43.8719
118;56.1871;43.9497
119;56.1991;44.021
120;56.2092;44.0547
121;56.2223;44.0821
122;56.2377;44.0403
123;56.1877;44.0789
124;56.1723;44.1622
125;56.1564;44.1848
126;56.1374;44.1357
127;56.2516;43.9811
128;58.5175;49.4587
129;58.5307;49.4894
130;58.5521;49.543
131;58.5675;49.6182
132;58.6061;49.6438
133;58.5302;49.6732
134;58.6061;49.6438
135;58.6219;49.6537
136;58.4626;49.2525
137;58.4879;49.3614
138;58.4708;49.3095
139;58.6459;49.5189
140;58.6217;49.6322
141;58.7189;50.1797
142;58.6749;50.1386
143;58.6752;50.0311
144;58.6398;49.7326
145;58.7314;49.5621
146;58.7858;49.5604
147;58.8389;49.5109
148;59.7724;49.382
149;58.9483;49.3918
150;58.997;49.3107
151;58.9217;49.4262
152;58.8557;49.5033
153;58.8718;49.4897
154;59.0435;49.2726
155;59.1063;49.188
156;59.1286;49.1546
157;59.1591;49.0989
158;59.2252;49.0353
159;59.2673;49.0786
160;59.3077;49.1108
161;59.3633;49.0467
162;59.3968;48.9638
163;59.4445;48.9049
164;59.4798;48.8603
